Título,Autor,F/M,Editora,Data de publicação,Categoria,Idioma,Numero de páginas,Nacionalidade,Gênero,GPS
Harry Potter e o cálice de fogo,J. K. Vomito,F,Rocco,2000,Romance moderno,Português,752,Inglaterra,Juvenil,BA
Harry Potter e a ordem da fênix,J. K. Vomito,F,Rocco,2003,Romance moderno,Português,703,Inglaterra,Juvenil,BA
Harry Potter e o enigma do príncipe,J. K. Vomito,F,Rocco,2005,Romance moderno,Português,472,Inglaterra,Juvenil,BA
S.,J.J. Abrams e Doug Dorst,M,Intrínseca,2013,Romance moderno,Português,456,Estados Unidos,Thriller,SP
Orgulho e preconceito,Jane Austen,F,Del Fondo,1813,Romance,Inglês,462,Reino Unido,Clássico,SP
Não olhe pra trás,Jennifer L. Armentrout,F,Farol Literário,2014,Romance moderno,Português,438,Estados Unidos,Romance jovem,SP
O poder da espada - A primeira lei,Joe Abercrombie,M,Arqueiro,2006,Romance moderno,Português,474,Inglaterra,Fantasia,SP
O que todo corpo fala,Joe Navarro,M,Sextante,2008,Linguagem corporal,Português,239,Estados Unidos,Psicologia,SP
Capitães da areia,Jorge Amado,M,Companhia de Bolso,1937,Romance,Português,275,Brasil,Clássico,SP
Ensaio sobre a cegueira,José Saramago,M,Companhia das Letras,1995,Romance,Português,310,Portugal,Ficção,SP
Carmilla,Joseph Sheridan La Fanu,M,Pandorga,1872,"Vampiro/Lobisomen, Romance",Português,174,Irlanda,Terror gótico,SP
Cinco semanas em um balão,Júlio Verne,M,Principis,1863,Romance,Português,288,França,Aventura,SP
Viagem ao centro da Terra,Júlio Verne,M,Principis,1864,Romance,Português,302,França,Aventura,SP
Da Terra à Lua,Júlio Verne,M,Principis,1865,Romance,Português,192,França,Aventura,SP
Vinte mil léguas submarinas,Júlio Verne,M,Principis,1870,Romance,Português,366,França,Aventura,SP
A volta ao mundo em 80 dias,Júlio Verne,M,Principis,1873,Romance,Português,303,França,Aventura,SP
A ilha misteriosa,Júlio Verne,M,Principis,1874,Romance,Português,416,França,Aventura,SP
Mitologia Grega - Volume 1,Junito de Souza Brandão,M,Editora Vozes,1998,Mitologia,Português,436,Brasil,Ensaio,SP
Mitologia Grega - Volume 2,Junito de Souza Brandão,M,Editora Vozes,1998,Mitologia,Português,356,Brasil,Ensaio,SP
Mitologia Grega - Volume 3,Junito de Souza Brandão,M,Editora Vozes,1998,Mitologia,Português,436,Brasil,Ensaio,SP
Manifesto do partido comunista,Karl Marx e Friedrich Engels,M,Edipro,1848,Filosofia,Português,110,Alemanha,Política,SP
Tudo o que você precisa saber sobre mitologia,Kathleen Sears,F,Gente Editora,2014,Mitologia,Português,254,Estados Unidos,Ensaio,SP
Alice no país das maravilhas,Lewis Carrol,M,Darkside,1864,Romance,Português,210,Reino Unido,Fantasia,SP
Bruxaria verde,Lindsay Squire,F,Pensamento,2021,Bruxas,Português,176,Inglaterra,Cultura,SP
Mulherzinhas,Louisa May Alcott,F,,1868,Romance,Inglês,777,Estados Unidos,Clássico,BA
O alienista,Machado de Assis,M,Camelot,1882,Romance,Português,112,Brasil,Literatura brasileira,SP
Galateia,Madeline Miller,F,Planeta Minotauro,2013,Mitologia,Português,85,Estados Unidos,Romance,SP
Circe,Madeline Miller,F,Planeta Minotauro,2018,Mitologia,Português,366,Estados Unidos,Fantasia,SP
Meditações,Marco Aurélio,M,Principis,170,Filosofia,Português,127,Roma Antiga,Estoicismo,SP
As brumas de Avalon - 1,Marion Zimmer Bradley,F,Imago,1985,Romance,Português,256,Estados Unidos,Fantasia,BA
As brumas de Avalon - 2,Marion Zimmer Bradley,F,Imago,1985,Romance,Português,229,Estados Unidos,Fantasia,BA
